"study_id","site_id","core_id","method_id","depth_min","depth_max","dry_bulk_density","fraction_organic_matter","fraction_carbon","delta_c13","depth_interval_notes"
"Krause_et_al_2025","PD","PD3","single set of methods",26.6,37.5,1.27066666666667,0.02593,0.00574,-25.57,"13cm stopper to sed surface"
"Krause_et_al_2025","PD","PD3","single set of methods",37.5,53.9,0.9765,0.03744,0.01315,NA,"13cm stopper to sed surface"
"Krause_et_al_2025","PD","PD3","single set of methods",53.9,72.9,1.25744444444444,0.06518,0.00782,-23.16,"13cm stopper to sed surface"
"Krause_et_al_2025","PD","PD3","single set of methods",72.9,98,1.11422222222222,0.0411,0.01142,-26.81,"13cm stopper to sed surface"
"Krause_et_al_2025","PD","PD6","single set of methods",0,1.3,0.381470588235294,0.13136,0.03679,-22.81,"37cm stopper to sed surface"
"Krause_et_al_2025","PD","PD6","single set of methods",1.3,3.9,0.55175,0.11185,NA,NA,"37cm stopper to sed surface"
"Krause_et_al_2025","PD","PD6","single set of methods",3.9,6.7,0.639666666666667,0.0977,0.03223,NA,"37cm stopper to sed surface"
"Krause_et_al_2025","PD","PD6","single set of methods",6.7,10.7,0.779833333333333,0.08031,NA,NA,"37cm stopper to sed surface"
"Krause_et_al_2025","PD","PD6","single set of methods",10.7,16.1,0.958857142857143,0.05674,0.01716,NA,"37cm stopper to sed surface"
"Krause_et_al_2025","PD","PD6","single set of methods",16.1,24.3,1.06933333333333,0.0839,NA,NA,"37cm stopper to sed surface"
"Krause_et_al_2025","PD","PD6","single set of methods",24.3,35.3,1.22325,0.03102,0.00758,-24.83,"37cm stopper to sed surface"
"Krause_et_al_2025","PD","PD6","single set of methods",35.3,46.2,1.27757142857143,0.03004,0.00756,NA,"37cm stopper to sed surface"
"Krause_et_al_2025","PD","PD6","single set of methods",46.2,58.5,1.25357142857143,0.03037,0.00829,-25.05,"37cm stopper to sed surface"
"Krause_et_al_2025","PD","PD6","single set of methods",58.5,83,1.2705,0.02265,0.00508,-25.55,"37cm stopper to sed surface"
"Krause_et_al_2025","PD","PD8","single set of methods",0,1.8,0.5795,0.07426,0.0218,-24.33,"31cm stopper to sed surface"
"Krause_et_al_2025","PD","PD8","single set of methods",1.8,4.6,0.746375,0.06804,NA,NA,"31cm stopper to sed surface"
"Krause_et_al_2025","PD","PD8","single set of methods",4.6,7.2,0.7314,0.07059,0.02076,NA,"31cm stopper to sed surface"
"Krause_et_al_2025","PD","PD8","single set of methods",7.2,11.3,0.752,0.06821,NA,NA,"31cm stopper to sed surface"
"Krause_et_al_2025","PD","PD8","single set of methods",11.3,16.8,0.684333333333333,0.07375,0.02179,NA,"31cm stopper to sed surface"
"Krause_et_al_2025","PD","PD8","single set of methods",16.8,25,0.795,0.06181,NA,NA,"31cm stopper to sed surface"
"Krause_et_al_2025","PD","PD8","single set of methods",25,36,0.999666666666667,0.04586,0.01399,-24.915,"31cm stopper to sed surface"
"Krause_et_al_2025","PD","PD8","single set of methods",36,46.9,1.14566666666667,0.03162,0.00882,NA,"31cm stopper to sed surface"
"Krause_et_al_2025","PD","PD8","single set of methods",46.9,59.2,1.17222222222222,0.03442,0.00946,NA,"31cm stopper to sed surface"
"Krause_et_al_2025","PD","PD8","single set of methods",59.2,84,1.11977777777778,0.03491,0.01202,-26.325,"31cm stopper to sed surface"
"Krause_et_al_2025","PS","PS1","single set of methods",0,2.2,1.03318181818182,0.02322,0.00929,-23.53,"20cm stopper to sed surface"
"Krause_et_al_2025","PS","PS1","single set of methods",2.2,4.9,1.0762,0.03251,NA,NA,"20cm stopper to sed surface"
"Krause_et_al_2025","PS","PS1","single set of methods",4.9,7.7,0.984888888888889,0.04714,0.01412,NA,"20cm stopper to sed surface"
"Krause_et_al_2025","PS","PS1","single set of methods",7.7,12,0.9574,0.04216,NA,NA,"20cm stopper to sed surface"
"Krause_et_al_2025","PS","PS1","single set of methods",12,17.5,1.1567,0.0317,0.01023,NA,"20cm stopper to sed surface"
"Krause_et_al_2025","PS","PS1","single set of methods",17.5,24.6,1.1172,0.0319,NA,NA,"20cm stopper to sed surface"
"Krause_et_al_2025","PS","PS1","single set of methods",24.6,35.1,1.1859,0.02498,0.00691,-24.44,"20cm stopper to sed surface"
"Krause_et_al_2025","PS","PS1","single set of methods",35.1,52,1.1744,0.02468,0.00661,NA,"20cm stopper to sed surface"
"Krause_et_al_2025","PS","PS1","single set of methods",52,69.7,1.23688888888889,0.01799,0.00507,-25.1,"20cm stopper to sed surface"
"Krause_et_al_2025","PS","PS1","single set of methods",69.7,95,1.32333333333333,0.01658,0.0024,-25.44,"20cm stopper to sed surface"
"Krause_et_al_2025","PS","PS10","single set of methods",0,4.2,0.8025,0.03086,0.00822,-23.55,"8cm stopper to sed surface"
"Krause_et_al_2025","PS","PS10","single set of methods",4.2,7.6,1.136,0.0145,NA,NA,"8cm stopper to sed surface"
"Krause_et_al_2025","PS","PS10","single set of methods",7.6,10.4,1.216,0.01507,0.00302,NA,"8cm stopper to sed surface"
"Krause_et_al_2025","PS","PS10","single set of methods",10.4,12.9,1.30671428571429,0.0134,NA,NA,"8cm stopper to sed surface"
"Krause_et_al_2025","PS","PS10","single set of methods",12.9,15.6,1.335625,0.15148,0.00435,NA,"8cm stopper to sed surface"
"Krause_et_al_2025","PS","PS10","single set of methods",15.6,19.1,1.35244444444444,0.01423,NA,NA,"8cm stopper to sed surface"
"Krause_et_al_2025","PS","PS10","single set of methods",19.1,26.9,1.39711111111111,0.01527,NA,NA,"8cm stopper to sed surface"
"Krause_et_al_2025","PS","PS10","single set of methods",26.9,37.5,1.37966666666667,0.01324,0.00129,-23.28,"8cm stopper to sed surface"
"Krause_et_al_2025","PS","PS10","single set of methods",37.5,48.4,1.37477777777778,0.01506,0.00215,NA,"8cm stopper to sed surface"
"Krause_et_al_2025","PS","PS10","single set of methods",48.4,64.4,1.445125,0.01284,0.00202,-23.49,"8cm stopper to sed surface"
"Krause_et_al_2025","PS","PS10","single set of methods",64.4,82.5,1.389375,0.01366,0.00282,NA,"8cm stopper to sed surface"
"Krause_et_al_2025","PS","PS10","single set of methods",82.5,100,1.4456,0.01342,0.00276,-23.45,"8cm stopper to sed surface"
"Krause_et_al_2025","PS","PS11","single set of methods",0,3.7,1.3825,0.0153,0.00343,-22.1,"15cm stopper to sed surface"
"Krause_et_al_2025","PS","PS11","single set of methods",3.7,6.4,1.16857142857143,0.014880000000000001,NA,NA,"15cm stopper to sed surface"
"Krause_et_al_2025","PS","PS11","single set of methods",6.4,9.2,1.212,0.02405,NA,NA,"15cm stopper to sed surface"
"Krause_et_al_2025","PS","PS11","single set of methods",9.2,13.3,1.1846,0.02002,0.0042,NA,"15cm stopper to sed surface"
"Krause_et_al_2025","PS","PS11","single set of methods",13.3,18.7,1.36157142857143,0.01238,NA,NA,"15cm stopper to sed surface"
"Krause_et_al_2025","PS","PS11","single set of methods",18.7,26.9,1.35816666666667,0.01388,0.00677,-24.81,"15cm stopper to sed surface"
"Krause_et_al_2025","PS","PS11","single set of methods",26.9,37.8,1.33136363636364,0.01756,0.00397,NA,"15cm stopper to sed surface"
"Krause_et_al_2025","PS","PS11","single set of methods",37.8,54.3,1.40471428571429,0.00721,5.7e-4,-24.05,"15cm stopper to sed surface"
"Krause_et_al_2025","PS","PS11","single set of methods",54.3,76.4,1.4126,0.01389,0.00399,NA,"15cm stopper to sed surface"
"Krause_et_al_2025","PS","PS11","single set of methods",76.4,100,0.533666666666667,0.01791,0.05677,-23.23,"15cm stopper to sed surface"
"Krause_et_al_2025","PS","PS13","single set of methods",0,2.9,0.631666666666667,0.08763,0.02502,-23.03,"7cm stopper to sed surface"
"Krause_et_al_2025","PS","PS13","single set of methods",2.9,5.5,0.819125,0.05842,NA,NA,"7cm stopper to sed surface"
"Krause_et_al_2025","PS","PS13","single set of methods",5.5,8.1,0.9575,0.04435,NA,NA,"7cm stopper to sed surface"
"Krause_et_al_2025","PS","PS13","single set of methods",8.1,12.2,1.08166666666667,0.03916,0.00926,NA,"7cm stopper to sed surface"
"Krause_et_al_2025","PS","PS13","single set of methods",12.2,17.5,1.27725,0.02258,NA,NA,"7cm stopper to sed surface"
"Krause_et_al_2025","PS","PS13","single set of methods",17.5,25.3,1.28766666666667,0.02901,0.00517,NA,"7cm stopper to sed surface"
"Krause_et_al_2025","PS","PS13","single set of methods",25.3,36,1.15914285714286,0.03795,0.01053,-24.4,"7cm stopper to sed surface"
"Krause_et_al_2025","PS","PS13","single set of methods",36,46.7,1.23433333333333,0.03136,0.01026,NA,"7cm stopper to sed surface"
"Krause_et_al_2025","PS","PS13","single set of methods",46.7,62.6,1.22833333333333,0.03483,0.00838,-24.81,"7cm stopper to sed surface"
"Krause_et_al_2025","PS","PS13","single set of methods",62.6,81.1,1.26575,0.02407,0.00519,NA,"7cm stopper to sed surface"
"Krause_et_al_2025","PS","PS13","single set of methods",81.1,100,1.33977777777778,0.02174,0.00441,-24.84,"7cm stopper to sed surface"
"Krause_et_al_2025","PS","PS14","single set of methods",0,2.7,0.469666666666667,0.12498,0.03974,-22.46,"2.4cm stopper to sed surface"
"Krause_et_al_2025","PS","PS14","single set of methods",2.7,5.3,0.565857142857143,0.10696,NA,NA,"2.4cm stopper to sed surface"
"Krause_et_al_2025","PS","PS14","single set of methods",5.3,8,0.61575,0.08823,NA,NA,"2.4cm stopper to sed surface"
"Krause_et_al_2025","PS","PS14","single set of methods",8,11.7,0.62075,0.10176,NA,NA,"2.4cm stopper to sed surface"
"Krause_et_al_2025","PS","PS14","single set of methods",11.7,16.9,0.637666666666667,0.09376,0.02961,NA,"2.4cm stopper to sed surface"
"Krause_et_al_2025","PS","PS14","single set of methods",16.9,24.9,1.02266666666667,0.0507,0.01422,-24.07,"2.4cm stopper to sed surface"
"Krause_et_al_2025","PS","PS14","single set of methods",24.9,35.2,0.9148,0.06096,0.02283,NA,"2.4cm stopper to sed surface"
"Krause_et_al_2025","PS","PS14","single set of methods",35.2,45.5,0.982222222222222,0.03597,0.00893,-24.31,"2.4cm stopper to sed surface"
"Krause_et_al_2025","PS","PS14","single set of methods",45.5,61.5,1.19633333333333,0.02756,0.00702,NA,"2.4cm stopper to sed surface"
"Krause_et_al_2025","PS","PS14","single set of methods",61.5,86,1.16375,0.03548,0.00995,-27.06,"2.4cm stopper to sed surface"
"Krause_et_al_2025","PS","PS15","single set of methods",0,2.5,0.305666666666667,0.13855,0.04421,-25.84,"3cm stopper to sed surface"
"Krause_et_al_2025","PS","PS15","single set of methods",2.5,5.2,0.616666666666667,0.10154,0.03987,NA,"3cm stopper to sed surface"
"Krause_et_al_2025","PS","PS15","single set of methods",5.2,7.8,0.6883,0.10385,0.03491,NA,"3cm stopper to sed surface"
"Krause_et_al_2025","PS","PS15","single set of methods",7.8,11.7,0.824111111111111,0.07077,NA,NA,"3cm stopper to sed surface"
"Krause_et_al_2025","PS","PS15","single set of methods",11.7,17.1,0.722875,0.102,0.0463,NA,"3cm stopper to sed surface"
"Krause_et_al_2025","PS","PS15","single set of methods",17.1,25.9,0.929,0.06753,0.0253,-27.925,"3cm stopper to sed surface"
"Krause_et_al_2025","PS","PS15","single set of methods",25.9,36.5,0.7844,0.11022,0.02795,NA,"3cm stopper to sed surface"
