study_id,site_id,core_id,method_id,depth_min,depth_max,sample_id,dry_bulk_density,percent_organic_carbon
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Middle,MID_SM_T1_D1_1,single set of methods,0,5,MID_SM_T1_D1_0_5,0.24380000000000024,15.26
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Middle,MID_SM_T1_D1_1,single set of methods,5,10,MID_SM_T1_D1_5_10,0.8535000000000004,3.68
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Middle,MID_SM_T1_D1_1,single set of methods,10,20,MID_SM_T1_D1_10_20,1.20004,1.3
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Middle,MID_SM_T1_D0.5_1,single set of methods,0,5,MID_SM_T1_D0.5_0_5,0.6746500000000001,4.15
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Middle,MID_SM_T1_D0.5_1,single set of methods,5,10,MID_SM_T1_D0.5_5_10,0.9535999999999998,3.7
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Middle,MID_SM_T1_D0.5_1,single set of methods,10,20,MID_SM_T1_D0.5_10_20,1.05604,2.01
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Middle,MID_SM_T1_D0_1,single set of methods,0,5,MID_SM_T1_D0_0_5,0.78155,2.82
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Middle,MID_SM_T1_D0_1,single set of methods,5,10,MID_SM_T1_D0_5_10,0.8586000000000003,3.45
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Middle,MID_SM_T1_D0_1,single set of methods,10,20,MID_SM_T1_D0_10_20,1.12114,1.76
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Middle,MID_SM_T2_D5_1,single set of methods,0,5,MID_SM_T2_D5_0_5,0.87335,3.23
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Middle,MID_SM_T2_D5_1,single set of methods,5,10,MID_SM_T2_D5_5_10,0.9461999999999999,4
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Middle,MID_SM_T2_D5_1,single set of methods,10,20,MID_SM_T2_D5_10_20,1.33016,0.85
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Middle,MID_SM_T2_D3_1,single set of methods,0,5,MID_SM_T2_D3_0_5,0.67635,4.45
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Middle,MID_SM_T2_D3_1,single set of methods,5,10,MID_SM_T2_D3_5_10,0.9280999999999999,3.45
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Middle,MID_SM_T2_D3_1,single set of methods,10,20,MID_SM_T2_D3_10_20,1.22352,1.55
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Middle,MID_SM_T2_D1_1,single set of methods,0,5,MID_SM_T2_D1_0_5,0.43157142857142866,17.15
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Middle,MID_SM_T2_D1_1,single set of methods,5,10,MID_SM_T2_D1_5_10,0.7967333333333334,5.14
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Middle,MID_SM_T2_D1_1,single set of methods,10,20,MID_SM_T2_D1_10_20,1.0962600000000002,1.93
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Middle,MID_SM_T2_D0.5_1,single set of methods,0,5,MID_SM_T2_D0.5_0_5,0.3564499999999999,14.4
