"study_id","site_id","plot_id","plant_id","year","month","day","species","plot_radius","alive_or_dead","decay_class","diameter","diameter_height","diameter_flag","basal_area","basal_density","total_height","canopy_height","height_method","canopy_quality","plant_AGB_kg_general","plant_AGC_kg_general","plant_AGB_kg_species","plant_AGC_kg_species","plant_BGB_kg","plant_BGC_kg","plant_notes"
"Romero_et_al_2025","R1","3","R1_3_2",2016,2,9,"Rhizophora racemosa",2,"alive",NA,"25.5","2.2999999999999998","diameter above lowest prop root","5.1044625000000003E-2","510.44625000000002","18","15","clinometer","medium","436.90731919727835","214.084586406666","581.05124861735499","284.71511182250396","241.54767648728617","94.203593830041612","sano"
"Romero_et_al_2025","R1","3","R1_3_9",2016,2,9,"Peliciera rhizophorae",7,"alive",NA,"5.5","1.3","DBH","2.374625E-3","23.74625","5","3","clinometer","high","9.8688089164845607","4.83571636907743","7.154382148620563","3.3625596098516644","7.7283370646007885","3.0140514551943078","sano"
"Romero_et_al_2025","R1","3","R1_3_6",2016,2,9,"Peliciera rhizophorae",7,"alive",NA,"7.5","1.3","DBH","4.4156250000000003E-3","44.15625","8","7","clinometer","medium","21.237574540559574","10.4064115248742","15.729195552307381","7.392721909584469","15.385686863877549","6.0004178769122438","sano"
"Romero_et_al_2025","R1","3","R1_3_1",2016,2,9,"Peliciera rhizophorae",7,"alive",NA,"8.5","1.3","DBH","5.6716250000000005E-3","56.716250000000002","9","5","clinometer","high","28.934947571595352","14.1781243100817","21.615982202751827","10.159511635293358","20.313787245562349","7.9223770257693165","sano"
"Romero_et_al_2025","R1","3","R1_3_10",2016,2,9,"Peliciera rhizophorae",2,"alive",NA,"10.5","1.3","DBH","8.6546250000000009E-3","86.546250000000015","7","5","clinometer","medium","48.773878530751652","23.8992004800683","36.971895975464001","17.37679110846808","32.472903986818004","12.664432554859022","hongos"
"Romero_et_al_2025","R1","3","R1_3_8",2016,2,9,"Peliciera rhizophorae",2,"alive",NA,"15.7","1.3","DBH","1.9349464999999996E-2","193.49464999999995","12","8","clinometer","high","131.79428412224667","64.5791992199009","102.71550836198567","48.276288930133262","79.319161194197761","30.934472865737128","sano"
"Romero_et_al_2025","R1","3","R1_3_7",2016,2,9,"Peliciera rhizophorae",2,"alive",NA,"20","1.3","DBH","3.1399999999999997E-2","314","15","12","clinometer","medium","239.70310164199213","117.454519804576","189.96215676990917","89.2822136818573","135.75863881915154","52.945869139469103","sano"
"Romero_et_al_2025","R1","4","R1_4_15",2016,2,9,"Rhizophora racemosa",7,"alive",NA,"6","1.3","DBH","2.826E-3","28.259999999999998","5","4","clinometer","medium","12.236022701000543","5.99565112349027","13.502159085696867","6.6160579519914648","9.7270117285230722","3.7935345741239983","sano"
"Romero_et_al_2025","R1","4","R1_4_24",2016,2,9,"Rhizophora racemosa",2,"alive",NA,"23.7","5.6","DBH","4.4092664999999996E-2","440.92664999999994","20","20","clinometer","medium","364.61262077439295","178.660184179453","444.32663054564972","217.72004896736837","205.31703872204463","80.073645101597407","plaga insectos"
"Romero_et_al_2025","R1","4","R1_4_14",2016,2,9,"Laguncularia racemosa",7,"alive",NA,"8.4","1.3","DBH","5.5389599999999999E-3","55.389600000000002","10","6","clinometer","low","28.101056633296484","13.7695177503153","31.618391429992769","15.493011800696456","14.16808212478894","5.5255520286676871","plaga insectos"
"Romero_et_al_2025","R1","4","R1_4_16",2016,2,9,"Laguncularia racemosa",2,"alive",NA,"23.5","1.3","DBH","4.3351625000000005E-2","433.51625000000007","7","4","clinometer","medium","357.05672894002362","174.957797180612","15.241114028185535","7.4681458738109123","139.05342960625785","54.230837546440561","plaga insectos"
"Romero_et_al_2025","R1","4","R1_4_9",2016,2,9,"Peliciera rhizophorae",7,"alive",NA,"5","1.3","DBH","1.9624999999999998E-3","19.625","4","3","clinometer","medium","7.7980033075369901","3.82102162069312","5.6160984687705939","2.6395662803221791","6.2545244435129987","2.4392645329700695","plaga insectos"
"Romero_et_al_2025","R1","4","R1_4_8",2016,2,9,"Peliciera rhizophorae",7,"alive",NA,"5","1.3","DBH","1.9624999999999998E-3","19.625","4.5","3","clinometer","low","7.7980033075369901","3.82102162069312","5.6160984687705939","2.6395662803221791","6.2545244435129987","2.4392645329700695","sano"
"Romero_et_al_2025","R1","4","R1_4_12",2016,2,9,"Peliciera rhizophorae",7,"alive",NA,"5","1.3","DBH","1.9624999999999998E-3","19.625","5","4","clinometer","medium","7.7980033075369901","3.82102162069312","5.6160984687705939","2.6395662803221791","6.2545244435129987","2.4392645329700695","sano"
