"study_id","site_id","plot_id","core_id","representative_depth_min","representative_depth_max","sediment_dry_weight","dry_bulk_density","fraction_carbon","fraction_h2o","depth_interval_notes","soil_color","soil_carbon_density","interval_carbon_stock"
"Romero_et_al_2025","SL8","3","SL8-3","50","100","22.24",0.199318874350242,0.2339,0.190069224852577,"Raíces y una raíz grande","Very dark gray",0.04662,2.33103
"Romero_et_al_2025","SL8","4","SL8-4","0","15","37.54",0.355660824253908,0.1574,0.295613827860461,"Raíces","Very dark gray",0.05598,0.83972
"Romero_et_al_2025","SL8","4","SL8-4","15","30","32.74",0.296907590459781,0.1451,0.278212100611829,"Raíces y dos raíz grandes","Very dark gray",0.04308,0.64622
"Romero_et_al_2025","SL8","4","SL8-4","30","50","32.76",0.295081967213115,0.1393,0.26618997318599197,"Raíces y una raíz grande","Very dark gray",0.0411,0.8221
"Romero_et_al_2025","SL8","4","SL8-4","50","100","30.62",0.274421939415666,0.1602,0.246042587384492,"Raíces y una raíz grande","Black",0.04396,1.62661
"Romero_et_al_2025","SL8","5","SL8-5","0","15","28.72",0.272098531501658,0.12710000000000002,0.251224632610217,"Raíces","Very dark gray",0.03458,0.51876
"Romero_et_al_2025","SL8","5","SL8-5","15","30","31.4",0.284755599891176,0.1393,0.238946807701088,"Raíces","Very dark gray",0.03967,0.595
"Romero_et_al_2025","SL8","5","SL8-5","30","50","28.48",0.256530354891011,0.1492,0.221100846207593,"Raíces y una raíz grande","Very dark gray",0.03827,0.76549
"Romero_et_al_2025","SL8","5","SL8-5","50","100","32.37",0.290105753719305,0.1394,0.245562130177515,"Raíces y una raíz grande","Very dark gray",0.04044,2.02204
"Romero_et_al_2025","SL9","1","SL9-1","0","15","40.74",0.385978209379441,0.0742,0.313408723747981,"Raíces y dos raíz grandes","Gray",0.02864,0.42959
"Romero_et_al_2025","SL9","1","SL9-1","15","30","37.89",0.343611136301805,0.053,0.32415091111301203,"Pocas raíces","Gray",0.01821,0.27317
"Romero_et_al_2025","SL9","1","SL9-1","30","50","55.31",0.498198522788687,0.038599999999999995,0.397370500754364,"Raíces","Gray",0.01923,0.38461
"Romero_et_al_2025","SL9","1","SL9-1","50","100","53.94",0.483419967736153,0.049100000000000005,0.37887195336096097,"Pocas raíces","Gray",0.02374,0.83076
"Romero_et_al_2025","SL9","2","SL9-2","0","15","42.36",0.401326385599242,0.057300000000000004,0.33707328718071106,"Raíces","Gray",0.023,0.34494
"Romero_et_al_2025","SL9","2","SL9-2","15","30","34.14",0.309603700009069,0.0626,0.28142774709422097,"Raíces y dos raíz grande","Gray",0.01938,0.38762
"Romero_et_al_2025","SL9","2","SL9-2","30","50","35.3",0.317960727796793,0.07690000000000001,0.27662408902123703,"30% raíz","Gray",0.02445,0.48902
"Romero_et_al_2025","SL9","2","SL9-2","50","100","40.34",0.361534325147876,0.0696,0.302671068427371,"Raíces","Gray",0.02516,0.57874
"Romero_et_al_2025","SL9","3","SL9-3","0","15","38.01",0.360113690194221,0.0649,0.299574401008827,"Pocas raíces y una raíz grande","Gray",0.02337,0.35057
"Romero_et_al_2025","SL9","3","SL9-3","15","30","30.23",0.274145279767843,0.1025,0.245752377855459,"Raíces y una raíz grande","Gray",0.0281,0.4215
"Romero_et_al_2025","SL9","3","SL9-3","30","50","28.38",0.255629616285354,0.0733,0.23941285641977403,"Raíces y dos raíz grande","Gray",0.01874,0.37475
"Romero_et_al_2025","SL9","3","SL9-3","50","100","35.73",0.320218677182291,0.0666,0.265749349200446,"Pocas raíces","Black",0.021329999999999998,0.51184
"Romero_et_al_2025","SL9","4","SL9-4","0","15","39.99",0.378872572240644,0.0692,0.315976611883692,"Raíces y una raíz grande","Gray",0.02622,0.39327
"Romero_et_al_2025","SL9","4","SL9-4","15","30","29.74",0.269701641425592,0.1108,0.241004862236629,"Raíces y una raíz grande","Gray",0.02988,0.44824
"Romero_et_al_2025","SL9","4","SL9-4","30","50","22.95",0.206719509998199,0.135,0.207542051003798,"Raíces","Dark gray",0.02791,0.55814
"Romero_et_al_2025","SL9","5","SL9-5","0","15","32.99",0.312553292278541,0.1036,0.262596513571599,"Raíces, una hoja y una raíz grande","Gray",0.03238,0.48571
"Romero_et_al_2025","SL9","5","SL9-5","15","30","40.8",0.370000906864968,0.0765,0.303865345944738,"Raíces","Gray",0.02831,0.42458
"Romero_et_al_2025","SL9","5","SL9-5","30","50","40.28",0.362817510358494,0.0729,0.33078755029974505,"Raíces y dos raíz grandes","Gray",0.02645,0.52899
"Romero_et_al_2025","SL9","5","SL9-5","50","100","33.68",0.301846208998028,0.0735,0.26084262701363103,"Raíces y tres raíz grandes","Gray",0.02219,0.35497
"Romero_et_al_2025","SL9","6","SL9-6","0","15","32.43",0.307247749881573,0.13269999999999998,0.262039431157078,"Raíces","Gray, Very dark gray",0.04077,0.61158
"Romero_et_al_2025","SL9","6","SL9-6","15","30","29.09",0.263807019134851,0.1365,0.253308951584814,"Raíces, y una raíz grande","Gray",0.03601,0.54014
"Romero_et_al_2025","SL9","6","SL9-6","30","50","35.33",0.31823094937849,0.1165,0.280463602445027,"Raíces","Gray",0.03707,0.74148
"Romero_et_al_2025","SL9","6","SL9-6","50","100","40.54",0.363326761068292,0.0898,0.31409312776013,"Raíces","Dark gray",0.03263,0.88092
