"study_id","site_id","core_id","method_id","depth_min","depth_max","sample_id","dry_bulk_density","fraction_carbon"
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Middle","MID_SM_T2_D3_1","single set of methods",0,5,"MID_SM_T2_D3_0_5",0.67635,0.044500000000000005
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Middle","MID_SM_T2_D3_1","single set of methods",5,10,"MID_SM_T2_D3_5_10",0.9281,0.0345
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Middle","MID_SM_T2_D3_1","single set of methods",10,20,"MID_SM_T2_D3_10_20",1.22352,0.0155
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Middle","MID_SM_T2_D1_1","single set of methods",0,5,"MID_SM_T2_D1_0_5",0.43157142857142866,0.17149999999999999
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Middle","MID_SM_T2_D1_1","single set of methods",5,10,"MID_SM_T2_D1_5_10",0.7967333333333334,0.051399999999999994
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Middle","MID_SM_T2_D1_1","single set of methods",10,20,"MID_SM_T2_D1_10_20",1.0962600000000002,0.019299999999999998
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Middle","MID_SM_T2_D0.5_1","single set of methods",0,5,"MID_SM_T2_D0.5_0_5",0.3564499999999999,0.14400000000000002
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Middle","MID_SM_T2_D0.5_1","single set of methods",5,10,"MID_SM_T2_D0.5_5_10",0.5447499999999998,0.0783
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Middle","MID_SM_T2_D0.5_1","single set of methods",10,20,"MID_SM_T2_D0.5_10_20",1.1289399999999998,0.0192
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Middle","MID_SM_T2_D0_1","single set of methods",0,5,"MID_SM_T2_D0_0_5",0.5859393939393939,0.052199999999999996
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Middle","MID_SM_T2_D0_1","single set of methods",5,10,"MID_SM_T2_D0_5_10",0.7658999999999999,0.0499
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Middle","MID_SM_T2_D0_1","single set of methods",10,20,"MID_SM_T2_D0_10_20",1.15654,0.013999999999999999
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Middle","MID_SM_T3_D5_1","single set of methods",0,5,"MID_SM_T3_D5_0_5",0.4347999999999999,0.0584
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Middle","MID_SM_T3_D5_1","single set of methods",5,10,"MID_SM_T3_D5_5_10",0.6369,0.0347
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Middle","MID_SM_T3_D5_1","single set of methods",10,20,"MID_SM_T3_D5_10_20",0.73594,0.0275
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Middle","MID_SM_T3_D3_1","single set of methods",0,5,"MID_SM_T3_D3_0_5",0.44250000000000006,0.052199999999999996
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Middle","MID_SM_T3_D3_1","single set of methods",5,10,"MID_SM_T3_D3_5_10",0.8347000000000001,0.0342
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Middle","MID_SM_T3_D3_1","single set of methods",10,20,"MID_SM_T3_D3_10_20",0.8249200000000001,0.0308
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Middle","MID_SM_T3_D1_1","single set of methods",0,5,"MID_SM_T3_D1_0_5",0.42399999999999993,0.1288
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Middle","MID_SM_T3_D1_1","single set of methods",5,10,"MID_SM_T3_D1_5_10",0.5299499999999998,0.08439999999999999
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Middle","MID_SM_T3_D1_1","single set of methods",10,20,"MID_SM_T3_D1_10_20",0.8500199999999998,0.030299999999999997
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Middle","MID_SM_T3_D0.5_1","single set of methods",0,5,"MID_SM_T3_D0.5_0_5",0.5634999999999998,0.0496
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Middle","MID_SM_T3_D0.5_1","single set of methods",5,10,"MID_SM_T3_D0.5_5_10",0.7039500000000001,0.043
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Middle","MID_SM_T3_D0.5_1","single set of methods",10,20,"MID_SM_T3_D0.5_10_20",0.8599999999999999,0.023700000000000002
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Middle","MID_SM_T3_D0_1","single set of methods",0,5,"MID_SM_T3_D0_0_5",0.7279500000000002,0.031
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Middle","MID_SM_T3_D0_1","single set of methods",5,10,"MID_SM_T3_D0_0_5",0.9113500000000002,0.0281
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Middle","MID_SM_T3_D0_1","single set of methods",10,20,"MID_SM_T3_D0_10_20",0.9383199999999998,3e-4
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Lower","LWR_SM_T1_D5_1","single set of methods",0,5,"LWR_SM_T1_D5_0_5",0.6225999999999999,0.0183
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Lower","LWR_SM_T1_D5_1","single set of methods",5,10,"LWR_SM_T1_D5_5_10",0.91355,0.0207
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Lower","LWR_SM_T1_D5_1","single set of methods",10,20,"LWR_SM_T1_D5_10_20",1.18408,0.0111
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Lower","LWR_SM_T1_D3_1","single set of methods",0,5,"LWR_SM_T1_D3_0_5",0.6096499999999999,0.004699999999999999
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Lower","LWR_SM_T1_D3_1","single set of methods",5,10,"LWR_SM_T1_D3_5_10",1.03235,0.011000000000000001
