study_id,site_id,core_id,method_id,depth_min,depth_max,sample_id,dry_bulk_density,fraction_organic_matter
Bossert_et_al_2025_Langebaan,Langebaan,S4_R7_2023,single set of methods,20,30,S4_R7_20_30cm,0.16,0.01273
Bossert_et_al_2025_Langebaan,Langebaan,S4_R7_2023,single set of methods,30,50,S4_R7_30_50cm,0.1,0.01138
Bossert_et_al_2025_Langebaan,Langebaan,S4_R8_2023,single set of methods,0,5,S4_R8_0_5cm,0.19,0.00569
Bossert_et_al_2025_Langebaan,Langebaan,S4_R8_2023,single set of methods,5,10,S4_R8_5_10cm,0.2,0.00624
Bossert_et_al_2025_Langebaan,Langebaan,S4_R8_2023,single set of methods,10,20,S4_R8_10_20cm,0.16,0.0116
Bossert_et_al_2025_Langebaan,Langebaan,S4_R8_2023,single set of methods,20,30,S4_R8_20_30cm,0.13,0.0145
Bossert_et_al_2025_Langebaan,Langebaan,S4_R8_2023,single set of methods,30,50,S4_R8_30_50cm,0.1,0.01357
Bossert_et_al_2025_Langebaan,Langebaan,S4_R9_2023,single set of methods,0,5,S4_R9_0_5cm,0.16,0.00451
Bossert_et_al_2025_Langebaan,Langebaan,S4_R9_2023,single set of methods,5,10,S4_R9_5_10cm,0.14,0.00503
Bossert_et_al_2025_Langebaan,Langebaan,S4_R9_2023,single set of methods,10,20,S4_R9_10_20cm,0.22,0.00963
Bossert_et_al_2025_Langebaan,Langebaan,S4_R9_2023,single set of methods,20,30,S4_R9_20_30cm,0.25,0.00751
Bossert_et_al_2025_Langebaan,Langebaan,S4_R9_2023,single set of methods,30,50,S4_R9_30_50cm,0.14,0.01245
Bossert_et_al_2025_Langebaan,Langebaan,S4_R10_2023,single set of methods,0,5,S4_R10_0_5cm,0.12,0.00483
Bossert_et_al_2025_Langebaan,Langebaan,S4_R10_2023,single set of methods,5,10,S4_R10_5_10cm,0.11,0.00487
Bossert_et_al_2025_Langebaan,Langebaan,S4_R10_2023,single set of methods,10,20,S4_R10_10_20cm,0.12,0.01015
Bossert_et_al_2025_Langebaan,Langebaan,S4_R10_2023,single set of methods,20,30,S4_R10_20_30cm,0.13,0.01317
Bossert_et_al_2025_Langebaan,Langebaan,S4_R10_2023,single set of methods,30,50,S4_R10_30_50cm,0.12,0.01141
Bossert_et_al_2025_Langebaan,Langebaan,S4_R11_2023,single set of methods,0,5,S4_R11_0_5cm,0.12,0.00451
Bossert_et_al_2025_Langebaan,Langebaan,S4_R11_2023,single set of methods,5,10,S4_R11_5_10cm,0.13,0.0048
Bossert_et_al_2025_Langebaan,Langebaan,S4_R11_2023,single set of methods,10,20,S4_R11_10_20cm,0.14,0.01155
Bossert_et_al_2025_Langebaan,Langebaan,S4_R11_2023,single set of methods,20,30,S4_R11_20_30cm,0.12,0.01285
Bossert_et_al_2025_Langebaan,Langebaan,S4_R11_2023,single set of methods,30,50,S4_R11_30_50cm,0.13,0.01276
Bossert_et_al_2025_Langebaan,Langebaan,S4_R12_2023,single set of methods,0,5,S4_R12_0_5cm,0.07,0.00485
Bossert_et_al_2025_Langebaan,Langebaan,S4_R12_2023,single set of methods,5,10,S4_R12_5_10cm,0.12,0.00539
Bossert_et_al_2025_Langebaan,Langebaan,S4_R12_2023,single set of methods,10,20,S4_R12_10_20cm,0.31,0.01286
Bossert_et_al_2025_Langebaan,Langebaan,S4_R12_2023,single set of methods,20,30,S4_R12_20_30cm,0.12,0.01303
Bossert_et_al_2025_Langebaan,Langebaan,S4_R12_2023,single set of methods,30,50,S4_R12_30_50cm,0.12,0.01322
Bossert_et_al_2025_Langebaan,Langebaan,S4_R13_2023,single set of methods,0,5,S4_R13_0_5cm,0.08,0.0074
Bossert_et_al_2025_Langebaan,Langebaan,S4_R13_2023,single set of methods,5,10,S4_R13_5_10cm,0.09,0.01278
Bossert_et_al_2025_Langebaan,Langebaan,S4_R13_2023,single set of methods,10,20,S4_R13_10_20cm,0.08,0.01257
Bossert_et_al_2025_Langebaan,Langebaan,S4_R13_2023,single set of methods,20,30,S4_R13_20_30cm,0.02,0.01366
Bossert_et_al_2025_Langebaan,Langebaan,S4_R13_2023,single set of methods,30,50,S4_R13_30_50cm,0.21,0.01238
Bossert_et_al_2025_Langebaan,Langebaan,S4_R14_2023,single set of methods,0,5,S4_R14_0_5cm,0.24,0.00354
Bossert_et_al_2025_Langebaan,Langebaan,S4_R14_2023,single set of methods,5,10,S4_R14_5_10cm,0.26,0.00528
Bossert_et_al_2025_Langebaan,Langebaan,S4_R14_2023,single set of methods,10,20,S4_R14_10_20cm,0.21,0.01054
Bossert_et_al_2025_Langebaan,Langebaan,S4_R14_2023,single set of methods,20,30,S4_R14_20_30cm,0.16,0.01185
Bossert_et_al_2025_Langebaan,Langebaan,S4_R14_2023,single set of methods,30,50,S4_R14_30_50cm,0.19,0.0123
Bossert_et_al_2025_Langebaan,Langebaan,S4_R15_2023,single set of methods,0,5,S4_R15_0_5cm,0.11,0.00507
Bossert_et_al_2025_Langebaan,Langebaan,S4_R15_2023,single set of methods,5,10,S4_R15_5_10cm,0.11,0.00454
Bossert_et_al_2025_Langebaan,Langebaan,S4_R15_2023,single set of methods,10,20,S4_R15_10_20cm,0.11,0.01394
Bossert_et_al_2025_Langebaan,Langebaan,S4_R15_2023,single set of methods,20,30,S4_R15_20_30cm,0.11,0.01274
Bossert_et_al_2025_Langebaan,Langebaan,S4_R15_2023,single set of methods,30,50,S4_R15_30_50cm,0.1,0.01389
Bossert_et_al_2025_Langebaan,Langebaan,S5_R1_2023,single set of methods,0,5,S5_R1_0_5cm,0.2,0.00671
Bossert_et_al_2025_Langebaan,Langebaan,S5_R1_2023,single set of methods,5,10,S5_R1_5_10cm,0.49,0.01229
Bossert_et_al_2025_Langebaan,Langebaan,S5_R1_2023,single set of methods,10,20,S5_R1_10_20cm,0.19,0.0159
Bossert_et_al_2025_Langebaan,Langebaan,S5_R1_2023,single set of methods,20,30,S5_R1_20_30cm,0.18,0.01229
Bossert_et_al_2025_Langebaan,Langebaan,S5_R1_2023,single set of methods,30,50,S5_R1_30_50cm,0.25,0.01325
Bossert_et_al_2025_Langebaan,Langebaan,S5_R2_2023,single set of methods,0,5,S5_R2_0_5cm,0.18,0.01184
Bossert_et_al_2025_Langebaan,Langebaan,S5_R2_2023,single set of methods,5,10,S5_R2_5_10cm,0.26,0.01199
Bossert_et_al_2025_Langebaan,Langebaan,S5_R2_2023,single set of methods,10,20,S5_R2_10_20cm,0.21,0.01002
Bossert_et_al_2025_Langebaan,Langebaan,S5_R2_2023,single set of methods,20,30,S5_R2_20_30cm,0.25,0.01305
Bossert_et_al_2025_Langebaan,Langebaan,S5_R2_2023,single set of methods,30,50,S5_R2_30_50cm,0.17,0.014
Bossert_et_al_2025_Langebaan,Langebaan,S5_R3_2023,single set of methods,0,5,S5_R3_0_5cm,0.16,0.01146
Bossert_et_al_2025_Langebaan,Langebaan,S5_R3_2023,single set of methods,5,10,S5_R3_5_10cm,0.15,0.01152
Bossert_et_al_2025_Langebaan,Langebaan,S5_R3_2023,single set of methods,10,20,S5_R3_10_20cm,0.19,0.00953
Bossert_et_al_2025_Langebaan,Langebaan,S5_R3_2023,single set of methods,20,30,S5_R3_20_30cm,0.16,0.01348
Bossert_et_al_2025_Langebaan,Langebaan,S5_R3_2023,single set of methods,30,50,S5_R3_30_50cm,0.19,0.00729
Bossert_et_al_2025_Langebaan,Langebaan,S5_R4_2023,single set of methods,0,5,S5_R4_0_5cm,0.21,0.0126
Bossert_et_al_2025_Langebaan,Langebaan,S5_R4_2023,single set of methods,5,10,S5_R4_5_10cm,0.18,0.01063
Bossert_et_al_2025_Langebaan,Langebaan,S5_R4_2023,single set of methods,10,20,S5_R4_10_20cm,0.17,0.01364
Bossert_et_al_2025_Langebaan,Langebaan,S5_R4_2023,single set of methods,20,30,S5_R4_20_30cm,0.16,0.013
Bossert_et_al_2025_Langebaan,Langebaan,S5_R4_2023,single set of methods,30,50,S5_R4_30_50cm,0.18,0.00451
Bossert_et_al_2025_Langebaan,Langebaan,S5_R5_2023,single set of methods,0,5,S5_R5_0_5cm,0.26,0.01276
Bossert_et_al_2025_Langebaan,Langebaan,S5_R5_2023,single set of methods,5,10,S5_R5_5_10cm,0.16,0.01206
Bossert_et_al_2025_Langebaan,Langebaan,S5_R5_2023,single set of methods,10,20,S5_R5_10_20cm,0.06,0.01264
Bossert_et_al_2025_Langebaan,Langebaan,S5_R5_2023,single set of methods,20,30,S5_R5_20_30cm,0.13,0.0099
Bossert_et_al_2025_Langebaan,Langebaan,S5_R5_2023,single set of methods,30,50,S5_R5_30_50cm,0.18,0.00595
Bossert_et_al_2025_Langebaan,Langebaan,S5_R6_2023,single set of methods,0,5,S5_R6_0_5cm,0.15,0.01292
Bossert_et_al_2025_Langebaan,Langebaan,S5_R6_2023,single set of methods,5,10,S5_R6_5_10cm,0.09,0.013
Bossert_et_al_2025_Langebaan,Langebaan,S5_R6_2023,single set of methods,10,20,S5_R6_10_20cm,0.14,0.01
Bossert_et_al_2025_Langebaan,Langebaan,S5_R6_2023,single set of methods,20,30,S5_R6_20_30cm,0.25,0.01254
Bossert_et_al_2025_Langebaan,Langebaan,S5_R6_2023,single set of methods,30,50,S5_R6_30_50cm,0.16,0.00666
Bossert_et_al_2025_Langebaan,Langebaan,S5_R7_2023,single set of methods,0,5,S5_R7_0_5cm,0.17,0.01446
Bossert_et_al_2025_Langebaan,Langebaan,S5_R7_2023,single set of methods,5,10,S5_R7_5_10cm,0.11,0.00988
Bossert_et_al_2025_Langebaan,Langebaan,S5_R7_2023,single set of methods,10,20,S5_R7_10_20cm,0.12,0.01157
Bossert_et_al_2025_Langebaan,Langebaan,S5_R7_2023,single set of methods,20,30,S5_R7_20_30cm,0.17,0.01053
Bossert_et_al_2025_Langebaan,Langebaan,S5_R7_2023,single set of methods,30,50,S5_R7_30_50cm,0.16,0.01208
Bossert_et_al_2025_Langebaan,Langebaan,S5_R8_2023,single set of methods,0,5,S5_R8_0_5cm,0.17,0.00742
Bossert_et_al_2025_Langebaan,Langebaan,S5_R8_2023,single set of methods,5,10,S5_R8_5_10cm,0.12,0.00933
Bossert_et_al_2025_Langebaan,Langebaan,S5_R8_2023,single set of methods,10,20,S5_R8_10_20cm,0.12,0.01173
Bossert_et_al_2025_Langebaan,Langebaan,S5_R8_2023,single set of methods,20,30,S5_R8_20_30cm,0.2,0.01243
Bossert_et_al_2025_Langebaan,Langebaan,S5_R8_2023,single set of methods,30,50,S5_R8_30_50cm,0.14,0.01151
Bossert_et_al_2025_Langebaan,Langebaan,S5_R9_2023,single set of methods,0,5,S5_R9_0_5cm,0.23,0.00778
Bossert_et_al_2025_Langebaan,Langebaan,S5_R9_2023,single set of methods,5,10,S5_R9_5_10cm,0.12,0.01131
Bossert_et_al_2025_Langebaan,Langebaan,S5_R9_2023,single set of methods,10,20,S5_R9_10_20cm,0.15,0.01219
Bossert_et_al_2025_Langebaan,Langebaan,S5_R9_2023,single set of methods,20,30,S5_R9_20_30cm,0.24,0.01325
Bossert_et_al_2025_Langebaan,Langebaan,S5_R9_2023,single set of methods,30,50,S5_R9_30_50cm,0.32,0.01406
Bossert_et_al_2025_Langebaan,Langebaan,S5_R10_2023,single set of methods,0,5,S5_R10_0_5cm,0.12,0.0095
Bossert_et_al_2025_Langebaan,Langebaan,S5_R10_2023,single set of methods,5,10,S5_R10_5_10cm,0.14,0.01346
Bossert_et_al_2025_Langebaan,Langebaan,S5_R10_2023,single set of methods,10,20,S5_R10_10_20cm,0.21,0.01568
Bossert_et_al_2025_Langebaan,Langebaan,S5_R10_2023,single set of methods,20,30,S5_R10_20_30cm,0.2,0.01816
Bossert_et_al_2025_Langebaan,Langebaan,S5_R10_2023,single set of methods,30,50,S5_R10_30_50cm,0.17,0.02327
Bossert_et_al_2025_Langebaan,Langebaan,S5_R11_2023,single set of methods,0,5,S5_R11_0_5cm,0.14,0.00945
Bossert_et_al_2025_Langebaan,Langebaan,S5_R11_2023,single set of methods,5,10,S5_R11_5_10cm,0.11,0.01376
Bossert_et_al_2025_Langebaan,Langebaan,S5_R11_2023,single set of methods,10,20,S5_R11_10_20cm,0.1,0.01351
Bossert_et_al_2025_Langebaan,Langebaan,S5_R11_2023,single set of methods,20,30,S5_R11_20_30cm,0.13,0.0124
Bossert_et_al_2025_Langebaan,Langebaan,S5_R11_2023,single set of methods,30,50,S5_R11_30_50cm,0.17,0.01204
Bossert_et_al_2025_Langebaan,Langebaan,S5_R12_2023,single set of methods,0,5,S5_R12_0_5cm,0.21,0.01198
Bossert_et_al_2025_Langebaan,Langebaan,S5_R12_2023,single set of methods,5,10,S5_R12_5_10cm,0.17,0.01323
