"study_id","site_id","core_id","year","month","day","latitude","longitude","position_method","position_notes","habitat","vegetation_class","vegetation_method","salinity_class","salinity_method"
"Romero_et_al_2025","SL3","SL3-2",2016,9,19,8.325532913208008,-82.162353515625,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL3","SL3-3A",2016,9,19,8.325532913208008,-82.162353515625,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL3","SL3-3B",2016,9,19,8.325532913208008,-82.162353515625,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL3","SL3-3C",2016,9,19,8.325532913208008,-82.162353515625,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL3","SL3-4",2016,9,19,8.325532913208008,-82.162353515625,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL3","SL3-5",2016,9,19,8.325532913208008,-82.162353515625,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL3","SL3-6A",2016,9,19,8.325532913208008,-82.162353515625,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL3","SL3-6B",2016,9,19,8.325532913208008,-82.162353515625,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL3","SL3-6C",2016,9,19,8.325532913208008,-82.162353515625,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL4","SL4-1",2016,2,10,8.340749740600586,-82.20320129394531,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL4","SL4-2",2016,2,10,8.340749740600586,-82.20320129394531,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL4","SL4-3",2016,2,10,8.340749740600586,-82.20320129394531,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL4","SL4-4",2016,2,10,8.340749740600586,-82.20320129394531,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL4","SL4-5",2016,2,10,8.340749740600586,-82.20320129394531,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL4","SL4-6",2016,2,10,8.340749740600586,-82.20320129394531,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL5","SL5-1",2016,11,15,8.330050468444824,-82.20269775390625,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL5","SL5-2",2016,11,15,8.330050468444824,-82.20269775390625,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL5","SL5-3",2016,11,15,8.330050468444824,-82.20269775390625,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL5","SL5-4",2016,11,15,8.330050468444824,-82.20269775390625,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL5","SL5-5",2016,11,15,8.330050468444824,-82.20269775390625,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL5","SL5-6",2016,11,15,8.330050468444824,-82.20269775390625,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL6","SL6-1",2016,11,30,8.317983627319336,-82.18965148925781,"other low resolution","site-level coordinates","mangrove","forested","measurement","mesohaline","measurement"
"Romero_et_al_2025","SL6","SL6-2",2016,11,30,8.317983627319336,-82.18965148925781,"other low resolution","site-level coordinates","mangrove","forested","measurement","mesohaline","measurement"
"Romero_et_al_2025","SL6","SL6-3",2016,11,30,8.317983627319336,-82.18965148925781,"other low resolution","site-level coordinates","mangrove","forested","measurement","mesohaline","measurement"
"Romero_et_al_2025","SL6","SL6-4",2016,11,30,8.317983627319336,-82.18965148925781,"other low resolution","site-level coordinates","mangrove","forested","measurement","mesohaline","measurement"
