"study_id","site_id","core_id","method_id","representative_depth_min","representative_depth_max","dry_bulk_density","fraction_carbon","depth_interval_notes"
"Romero_et_al_2025","SF3","SF3-1","single set of methods",0,15,0.508289909995263,0.05169999999999999,"Raíces"
"Romero_et_al_2025","SF3","SF3-1","single set of methods",15,30,0.540944953296454,0.0532,"Raíces"
"Romero_et_al_2025","SF3","SF3-1","single set of methods",30,50,0.426319582057287,0.0572,"Raíces y una raíz grande"
"Romero_et_al_2025","SF3","SF3-1","single set of methods",50,100,0.510754615522495,0.0562,"Pocas raíces"
"Romero_et_al_2025","SF3","SF3-2","single set of methods",0,15,0.533870203694931,0.066,"Raíces"
"Romero_et_al_2025","SF3","SF3-2","single set of methods",15,30,0.496689942867507,0.06269999999999999,"30% raíces y una raíz grande"
"Romero_et_al_2025","SF3","SF3-2","single set of methods",30,50,0.386957304990092,0.061,"Raíces"
"Romero_et_al_2025","SF3","SF3-2","single set of methods",50,100,0.546961821114895,0.0694,"30% raíces y una raíz grande"
"Romero_et_al_2025","SF3","SF3-3","single set of methods",0,15,0.180293699668404,0.1852,"Raíces"
"Romero_et_al_2025","SF3","SF3-3","single set of methods",15,30,0.252743266527614,0.1524,"Raíces"
"Romero_et_al_2025","SF3","SF3-3","single set of methods",30,50,0.271122320302648,0.1234,"Raíces y dos raíz grandes"
"Romero_et_al_2025","SF3","SF3-3","single set of methods",50,100,0.309015952679692,0.11,"50% raíces"
"Romero_et_al_2025","SF3","SF3-4","single set of methods",0,15,0.295973472288015,0.1499,"Raíces y una raíz grande"
"Romero_et_al_2025","SF3","SF3-4","single set of methods",15,30,0.277409993651945,0.1459,"Raíces"
"Romero_et_al_2025","SF3","SF3-4","single set of methods",30,50,0.284363177805801,0.1289,"Raíces y tres raíz grandes"
"Romero_et_al_2025","SF3","SF3-4","single set of methods",50,100,0.262771105932963,0.1092,"50% raíces"
"Romero_et_al_2025","SF3","SF3-5","single set of methods",0,15,0.279677877783041,0.16690000000000002,"Raíces y una raíz grande"
"Romero_et_al_2025","SF3","SF3-5","single set of methods",15,30,0.35739548381246,0.1441,"Raíces y una raíz grande"
"Romero_et_al_2025","SF3","SF3-5","single set of methods",30,50,0.265627814808143,0.1382,"Raíces y una raíz grande"
"Romero_et_al_2025","SF3","SF3-5","single set of methods",50,100,0.281233195913246,0.1125,"Raíces"
