study_id,site_id,core_id,method_id,depth_min,depth_max,sample_id,dry_bulk_density,fraction_organic_matter
Ndhlovu_et_al_2024,Mngazana2,Mngazana2_C4,Ndhlovu_et_al_2024,0,5,Mngazana2_C45,1.6113,0.00723
Ndhlovu_et_al_2024,Mngazana2,Mngazana2_C4,Ndhlovu_et_al_2024,5,10,Mngazana2_C410,1.29133,0.00401
Ndhlovu_et_al_2024,Mngazana2,Mngazana2_C4,Ndhlovu_et_al_2024,10,20,Mngazana2_C420,1.09878,0.0107
Ndhlovu_et_al_2024,Mngazana2,Mngazana2_C5,Ndhlovu_et_al_2024,0,5,Mngazana2_C55,1.15473,0.01
Ndhlovu_et_al_2024,Mngazana2,Mngazana2_C5,Ndhlovu_et_al_2024,5,10,Mngazana2_C510,1.347,0.00432
Ndhlovu_et_al_2024,Mngazana2,Mngazana2_C5,Ndhlovu_et_al_2024,10,20,Mngazana2_C520,1.44718,0.00249
Ndhlovu_et_al_2024,Mngazana2,Mngazana2_C5,Ndhlovu_et_al_2024,20,30,Mngazana2_C530,1.42622,7.3e-4
Ndhlovu_et_al_2024,Mngazana2,Mngazana2_C5,Ndhlovu_et_al_2024,30,50,Mngazana2_C550,1.4675,0.0055
Ndhlovu_et_al_2024,Olifants1,Olifants1_C1,Ndhlovu_et_al_2024,0,5,Olifants1_C15,1.2942,0.00393
Ndhlovu_et_al_2024,Olifants1,Olifants1_C1,Ndhlovu_et_al_2024,5,10,Olifants1_C110,1.41923,0.00195
Ndhlovu_et_al_2024,Olifants1,Olifants1_C1,Ndhlovu_et_al_2024,10,20,Olifants1_C120,1.53908,0.00108
Ndhlovu_et_al_2024,Olifants1,Olifants1_C1,Ndhlovu_et_al_2024,20,30,Olifants1_C130,1.489,9e-4
Ndhlovu_et_al_2024,Olifants1,Olifants1_C1,Ndhlovu_et_al_2024,30,50,Olifants1_C150,1.54098,9e-5
Ndhlovu_et_al_2024,Olifants1,Olifants1_C2,Ndhlovu_et_al_2024,0,5,Olifants1_C25,1.02785,0.00316
Ndhlovu_et_al_2024,Olifants1,Olifants1_C2,Ndhlovu_et_al_2024,5,10,Olifants1_C210,1.51263,0.00118
Ndhlovu_et_al_2024,Olifants1,Olifants1_C2,Ndhlovu_et_al_2024,10,20,Olifants1_C220,1.43738,0.0018600000000000001
Ndhlovu_et_al_2024,Olifants1,Olifants1_C2,Ndhlovu_et_al_2024,20,30,Olifants1_C230,1.50386,0.00163
Ndhlovu_et_al_2024,Olifants1,Olifants1_C2,Ndhlovu_et_al_2024,30,50,Olifants1_C250,1.4668,0.00143
Ndhlovu_et_al_2024,Olifants1,Olifants1_C3,Ndhlovu_et_al_2024,0,5,Olifants1_C35,1.3116,0.0026
Ndhlovu_et_al_2024,Olifants1,Olifants1_C3,Ndhlovu_et_al_2024,5,10,Olifants1_C310,1.43673,0.00136
Ndhlovu_et_al_2024,Olifants1,Olifants1_C3,Ndhlovu_et_al_2024,10,20,Olifants1_C320,1.35332,3.7e-4
Ndhlovu_et_al_2024,Olifants1,Olifants1_C3,Ndhlovu_et_al_2024,20,30,Olifants1_C330,1.36208,2.4e-4
Ndhlovu_et_al_2024,Olifants1,Olifants1_C3,Ndhlovu_et_al_2024,30,50,Olifants1_C350,1.40786,6.3e-4
Ndhlovu_et_al_2024,Olifants1,Olifants1_C4,Ndhlovu_et_al_2024,0,5,Olifants1_C45,0.54836,0.001
Ndhlovu_et_al_2024,Olifants1,Olifants1_C4,Ndhlovu_et_al_2024,5,10,Olifants1_C410,0.91434,8.4e-4
Ndhlovu_et_al_2024,Olifants1,Olifants1_C4,Ndhlovu_et_al_2024,10,20,Olifants1_C420,1.39098,0.0018600000000000001
Ndhlovu_et_al_2024,Olifants1,Olifants1_C4,Ndhlovu_et_al_2024,20,30,Olifants1_C430,1.37816,0.00112
Ndhlovu_et_al_2024,Olifants1,Olifants1_C4,Ndhlovu_et_al_2024,30,50,Olifants1_C450,1.45242,6.9e-4
Ndhlovu_et_al_2024,Olifants2,Olifants2_C1,Ndhlovu_et_al_2024,0,5,Olifants2_C15,0.853,0.00461
Ndhlovu_et_al_2024,Olifants2,Olifants2_C1,Ndhlovu_et_al_2024,5,10,Olifants2_C110,1.19213,0.00504
Ndhlovu_et_al_2024,Olifants2,Olifants2_C1,Ndhlovu_et_al_2024,10,20,Olifants2_C120,1.18698,0.00202
Ndhlovu_et_al_2024,Olifants2,Olifants2_C1,Ndhlovu_et_al_2024,20,30,Olifants2_C130,1.18636,0.00307
Ndhlovu_et_al_2024,Olifants2,Olifants2_C1,Ndhlovu_et_al_2024,30,50,Olifants2_C150,1.32318,8.2e-4
Ndhlovu_et_al_2024,Olifants2,Olifants2_C2,Ndhlovu_et_al_2024,0,5,Olifants2_C25,0.84465,0.00301
Ndhlovu_et_al_2024,Olifants2,Olifants2_C2,Ndhlovu_et_al_2024,5,10,Olifants2_C210,1.2475,0.00337
Ndhlovu_et_al_2024,Olifants2,Olifants2_C2,Ndhlovu_et_al_2024,10,20,Olifants2_C220,1.26038,9.1e-4
Ndhlovu_et_al_2024,Olifants2,Olifants2_C2,Ndhlovu_et_al_2024,20,30,Olifants2_C230,1.12852,0.00427
Ndhlovu_et_al_2024,Olifants2,Olifants2_C2,Ndhlovu_et_al_2024,30,50,Olifants2_C250,1.26536,0.00163
Ndhlovu_et_al_2024,Olifants2,Olifants2_C3,Ndhlovu_et_al_2024,0,5,Olifants2_C35,0.4928,0.01358
Ndhlovu_et_al_2024,Olifants2,Olifants2_C3,Ndhlovu_et_al_2024,5,10,Olifants2_C310,1.11455,0.0027
Ndhlovu_et_al_2024,Olifants2,Olifants2_C3,Ndhlovu_et_al_2024,10,20,Olifants2_C320,1.20178,0.00273
Ndhlovu_et_al_2024,Olifants2,Olifants2_C3,Ndhlovu_et_al_2024,20,30,Olifants2_C330,1.17266,0.00202
Ndhlovu_et_al_2024,Olifants2,Olifants2_C3,Ndhlovu_et_al_2024,30,50,Olifants2_C350,1.2713,0.00106
Ndhlovu_et_al_2024,Olifants2,Olifants2_C4,Ndhlovu_et_al_2024,0,5,Olifants2_C45,1.2384,0.00832
Ndhlovu_et_al_2024,Olifants2,Olifants2_C4,Ndhlovu_et_al_2024,5,10,Olifants2_C410,1.24067,6.6e-4
Ndhlovu_et_al_2024,Olifants2,Olifants2_C4,Ndhlovu_et_al_2024,10,20,Olifants2_C420,1.29334,6.6e-4
Ndhlovu_et_al_2024,Olifants2,Olifants2_C4,Ndhlovu_et_al_2024,20,30,Olifants2_C430,1.3453,0.00117
Ndhlovu_et_al_2024,Olifants2,Olifants2_C4,Ndhlovu_et_al_2024,30,50,Olifants2_C450,1.28074,8.7e-4
Ndhlovu_et_al_2024,Swartkops1,Swartkops1_C1,Ndhlovu_et_al_2024,0,5,Swartkops1_C15,1.10135,0.0234
Ndhlovu_et_al_2024,Swartkops1,Swartkops1_C1,Ndhlovu_et_al_2024,5,10,Swartkops1_C110,0.87134,0.02664
Ndhlovu_et_al_2024,Swartkops1,Swartkops1_C1,Ndhlovu_et_al_2024,10,20,Swartkops1_C120,1.3925,0.02619
Ndhlovu_et_al_2024,Swartkops1,Swartkops1_C1,Ndhlovu_et_al_2024,20,30,Swartkops1_C130,1.39444,0.02503
Ndhlovu_et_al_2024,Swartkops1,Swartkops1_C1,Ndhlovu_et_al_2024,30,50,Swartkops1_C150,1.5505,0.02631
Ndhlovu_et_al_2024,Swartkops1,Swartkops1_C2,Ndhlovu_et_al_2024,0,5,Swartkops1_C25,1.30985,0.02569
Ndhlovu_et_al_2024,Swartkops1,Swartkops1_C2,Ndhlovu_et_al_2024,5,10,Swartkops1_C210,1.4867,0.02874
Ndhlovu_et_al_2024,Swartkops1,Swartkops1_C2,Ndhlovu_et_al_2024,10,20,Swartkops1_C220,1.37512,0.02744
Ndhlovu_et_al_2024,Swartkops1,Swartkops1_C2,Ndhlovu_et_al_2024,20,30,Swartkops1_C230,1.4363,0.02997
Ndhlovu_et_al_2024,Swartkops1,Swartkops1_C2,Ndhlovu_et_al_2024,30,50,Swartkops1_C250,1.4363,0.0259
Ndhlovu_et_al_2024,Swartkops1,Swartkops1_C3,Ndhlovu_et_al_2024,0,5,Swartkops1_C35,1.02685,0.04037
Ndhlovu_et_al_2024,Swartkops1,Swartkops1_C3,Ndhlovu_et_al_2024,5,10,Swartkops1_C310,0.95683,0.04844
Ndhlovu_et_al_2024,Swartkops1,Swartkops1_C3,Ndhlovu_et_al_2024,10,20,Swartkops1_C320,1.55902,0.03857
Ndhlovu_et_al_2024,Swartkops1,Swartkops1_C3,Ndhlovu_et_al_2024,20,30,Swartkops1_C330,1.45516,0.0328
Ndhlovu_et_al_2024,Swartkops1,Swartkops1_C3,Ndhlovu_et_al_2024,30,50,Swartkops1_C350,1.36594,0.02911
